INFO | 2017-11-19 17:25:20,495 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:25:24,276 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:25:37,323 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:25:37,698 | index | login | A second active session was found for the user: helena
INFO | 2017-11-19 17:25:37,714 | index | profile | helena viewed his/her personal Profile page /myprofile
INFO | 2017-11-19 17:25:39,561 | index | logout | helena requested to logout /logout
INFO | 2017-11-19 17:25:39,581 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:33:57,329 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:34:06,719 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:34:07,094 | index | login | A second active session was found for the user: helena
INFO | 2017-11-19 17:34:07,203 | index | profile | helena viewed his/her personal Profile page /myprofile
INFO | 2017-11-19 17:34:53,319 | index | logout | helena requested to logout /logout
INFO | 2017-11-19 17:34:53,429 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:35:39,586 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:35:39,944 | index | login | A second active session was found for the user: helena
INFO | 2017-11-19 17:35:40,069 | index | profile | helena viewed his/her personal Profile page /myprofile
INFO | 2017-11-19 17:36:07,428 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:11,444 | index | register | Anonymous user visited the Register page /register
INFO | 2017-11-19 17:36:11,944 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:12,053 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:12,147 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:12,211 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:12,288 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:12,381 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:12,444 | index | register | Anonymous user visited the Register page /register
INFO | 2017-11-19 17:36:12,522 | index | register | Anonymous user visited the Register page /register
INFO | 2017-11-19 17:36:12,586 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:12,678 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:12,741 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:12,834 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:12,913 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:12,975 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:13,053 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:13,131 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:13,225 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:13,305 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:13,381 | index | register | Anonymous user visited the Register page /register
INFO | 2017-11-19 17:36:13,459 | index | register | Anonymous user visited the Register page /register
INFO | 2017-11-19 17:36:13,538 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:13,616 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:13,694 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:13,772 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:13,834 | index | login | Anonymous user visited the Login page /login
INFO | 2017-11-19 17:36:13,913 | index | login | Anonymous user visited the Login page /login
